municipality,year,richness,exp_shannon,inv_simpson,lex_div_q_0,lex_div_q_1,lex_div_q_2
Kauhajoki,2005,5,1.0454839300696581,1.012004712768097,1.030955624492121,1.0130730836889166,1.0083856841829266
Kauhajoki,2006,5,1.0468914313855513,1.012438201726694,1.0317594690650191,1.0133601213096128,1.0085753823418444
Kauhajoki,2007,5,1.0507205327136733,1.0135988972719505,1.0323382130894163,1.0140316469701884,1.0091448521463604
Kauhajoki,2008,8,1.0871265716590468,1.0230759644316525,1.0674974083348583,1.0272014033904766,1.016971239321338
Kauhajoki,2009,9,1.0948480660594757,1.024949280563296,1.077955961967064,1.0302155555168044,1.0186014327649298
Kauhajoki,2010,9,1.1041841570846893,1.027780833514085,1.0855998140740701,1.0332868704939528,1.0205283580131133
Kauhajoki,2011,9,1.1045381411332398,1.0279421749979178,1.0839443361040324,1.0330193702545833,1.0204878004249498
Kauhajoki,2012,10,1.1188648170693196,1.0319685012482023,1.0949918892921449,1.0378111111921828,1.0235127624412041
Kauhajoki,2013,9,1.1286793757234532,1.0359473807802793,1.096032417667896,1.0407640303951418,1.0259585592823406
Kauhajoki,2014,10,1.1475598222305607,1.0412533370841293,1.1137903005256204,1.0479710176555082,1.0303667866209278
Kauhajoki,2015,10,1.150924595853212,1.0424409820528597,1.1173570258843322,1.0496931577443216,1.0314675265832929
Kauhajoki,2016,9,1.1519211306687962,1.0434125919122101,1.1206561646037823,1.0515915041963568,1.0326967341085713
Kauhajoki,2017,10,1.158213511506752,1.0445716180740086,1.13121926476356,1.0545214528404212,1.034126501929533
Kauhajoki,2018,10,1.1566444182245457,1.0439786950832706,1.1315259062173861,1.054275553178948,1.0338570121632917
Kauhajoki,2019,9,1.153290537682631,1.0436929745118633,1.1276704019848114,1.053211273079432,1.0333752986218883
Kauhajoki,2020,10,1.1714936453134492,1.0487457337446013,1.147284951830741,1.0600554943370257,1.03735766766799
Kauhajoki,2021,11,1.1925752253973574,1.0543783311298478,1.1715398486796607,1.0686551576295453,1.0422494436977463
Kauhajoki,2022,10,1.2071979035942886,1.0596296285595899,1.1902620538074984,1.076390504037505,1.0469417926088789
Kauhajoki,2023,10,1.2337646715558093,1.069233136377315,1.221334274918386,1.0895335228654404,1.054936633426084
Kauhajoki,2024,10,1.2599507607036764,1.0771487546269596,1.2526089449727793,1.1013237229767872,1.061771621748529
Kauhajoki,2025,12,1.3040543007241645,1.0898173581050281,1.3127354846134127,1.121997701935197,1.0733079661402816
Kauhava,1990,2,1.0349186343993286,1.0111467052419878,1.0438447662255297,1.016546534408274,1.009800012051139
Kauhava,1991,3,1.0421224547397308,1.0128104136379248,1.051138879664534,1.0191126309768088,1.011274739747293
Kauhava,1992,4,1.046831853140061,1.0139051314572147,1.0515418658314177,1.0195376784146875,1.0116646847213748
Kauhava,1993,4,1.0498497401936298,1.0148697327149778,1.0553837699991337,1.0209766972803507,1.0125118278078349
Kauhava,1994,4,1.0508675093518138,1.0151085964646624,1.0565086760048856,1.021353216597213,1.0127235353542503
Kauhava,1995,4,1.0502442410481625,1.0149370428093334,1.0561362049998704,1.0211954827198222,1.0126201192052031
Kauhava,1996,3,1.0445326922661864,1.0134899354327227,1.054047772039394,1.0201534687736644,1.0118764868213597
Kauhava,1997,4,1.045636041861291,1.0134381111923494,1.0500894541078598,1.0189333249965433,1.0112907927296841
Kauhava,1998,4,1.049861091566395,1.0147355677337864,1.0553707970182846,1.0208794940638002,1.0124298067817663
Kauhava,1999,4,1.0520294882568564,1.0153520603540864,1.058034151932642,1.0218231175547503,1.0129732632214035
Kauhava,2000,4,1.0510982507004665,1.0150331868150404,1.0567215781606283,1.0213311431234706,1.0126849270197926
Kauhava,2001,3,1.0485513255389969,1.0146386260871962,1.0590687601247049,1.0219274401946445,1.012896153083623
Kauhava,2002,3,1.0498133201630415,1.015003565273324,1.0607067974479072,1.022497097584154,1.0132212700760952
Kauhava,2003,4,1.0522681558946974,1.0153127706106289,1.0575324339410517,1.0216220574764467,1.012863013315363
Kauhava,2004,4,1.0552484916325582,1.016129956281022,1.0580381486124077,1.0219966901968256,1.013179854195766
Kauhava,2005,4,1.056914576704601,1.0167579925139951,1.0621173141935916,1.0234092732440123,1.0139543310175998
Kauhava,2006,4,1.063693219479927,1.0188500929436293,1.0653980693280831,1.0250159397954177,1.0150803328987774
Kauhava,2007,4,1.0671846969116714,1.020000543044195,1.0686365709927956,1.0263341804914181,1.0159038183240028
Kauhava,2008,4,1.0657826350014512,1.0194262572720425,1.0642946627568832,1.0248196025839453,1.015082737118923
Kauhava,2009,5,1.0830164219283764,1.024515810182624,1.078946206418626,1.0306965816062412,1.0187317794236135
Kauhava,2010,6,1.1004290889868287,1.0293349391681583,1.0976039317384538,1.036918438287828,1.0223613004046863
Kauhava,2011,7,1.1243966323073071,1.0365797686473883,1.1175328779000369,1.0441998323578165,1.0268914306157269
Kauhava,2012,6,1.136419209664967,1.0413141750816386,1.123831333400152,1.0476887731765148,1.0293911312897042
Kauhava,2013,10,1.181713041685036,1.0534126905302628,1.1673096876755653,1.0635417859516125,1.038795174513902
Kauhava,2014,10,1.1937305622537127,1.057120330623388,1.1827540472119946,1.0686763621621385,1.0417307762313837
Kauhava,2015,10,1.2028779987176412,1.0596687039549113,1.1878034240350912,1.0708972803260195,1.0432132546676218
Kauhava,2016,10,1.2082401883199771,1.0615783931870941,1.2056114090351395,1.0756202297642166,1.0454771222524677
Kauhava,2017,10,1.20672136728284,1.0608773657379333,1.2102224181862977,1.076722362681695,1.0458576881473096
Kauhava,2018,9,1.1949693281268068,1.057902977595602,1.198870430002893,1.0732933374578866,1.0438957524077392
Kauhava,2019,11,1.2227012979867133,1.065092443748955,1.230703938492242,1.084485812539437,1.050266675613741
Kauhava,2020,11,1.230902819173739,1.0678965163918486,1.241939933319469,1.0883167443300796,1.0524836582005626
Kauhava,2021,10,1.2281279019842721,1.0673614447978679,1.2477335019899771,1.0893648496829014,1.052744878365789
Kauhava,2022,11,1.239688231241282,1.0702916330388375,1.2539330289139408,1.0930645413130784,1.0551565540343122
